name_name,name_rate
,10129
 Asus Zenfone 3 ZE520KL-1A035IN ,"7,990"
 Asus Zenfone 3 ZE520KL-1B036IN ,"8,990"
 Asus Zenfone 3 ZE520KL-1G037IN ,"9,299"
 Asus Zenfone 3S Max ,"5,490"
 Asus Zenfone 5Z ZS621KL-2A015IN ,"19,999"
 Asus Zenfone C ZC451CG ,"4,386.00"
 Asus Zenfone Lite L1 ZA551KL-4G022IN ,"4,199"
 Asus Zenfone Max M1 ZB556KL-4A001IN ,"4,997"
 Asus Zenfone Max M1 ZB556KL-4G002IN ,"4,997"
 Asus Zenfone Max Pro M1 ,"6,997"
 ASUS Zenfone Max Pro M1 4gb 64gb Grey,"7,099"
 Asus Zenfone Max Pro M1 ZB601KL-4A005IN ,"8,699"
 Asus Zenfone Max Pro M1 ZB601KL-4D101IN ,"6,199"
 Asus Zenfone Max Pro M1 ZB601KL-4D103IN ,"8,699"
 Asus Zenfone Max Pro M1 ZB601KL-4H006IN ,"8,699"
 Asus Zenfone Max Pro M1 ZB601KL-4H070IN ,"6,295"
 Asus Zenfone Max Pro M2 ,"10,499"
 Beetel M70 Corded Phone,"1,499"
 Blackberry Bold 9780 ,"4,499"
 BlackBerry Curve 3G 9300 | Black,"3,499"
 BlackBerry Curve 9320 with 3.2MP Primary Camera - Black,"3,999"
 BlackBerry Z30 STA100-2 ,10129
 Coolpad Cool 3 Plus ,"6,499"
 Coolpad Cool 5 ,"8,087.00"
 Coolpad Mega 2.5D ,"8,990"
 Coolpad Mega 3 ,10129
 Gionee A1 ,"6,999"
 Gionee Ctrl V5 ,"2,399"
 Gionee E7 Mini ,"2,399"
 Gionee F103 Pro ,"5,990"
 Gionee F103 Pro ,"3,984"
 Gionee P2S ,"1,949"
 Gionee P2S Red,"1,949"
 Gionee Pioneer P2M ,"2,099"
" Gionee Pioneer P2M Dual SIM, Android, 5MP,Quad-Core 1.3GHz Smartphone- Grey","2,099"
 Gionee Pioneer P3 ,"2,199"
 Google Pixel 2 ,"15,899"
 Google Pixel XL ,"12,999"
 Honor 20i ,"10,930"
 Honor 6X ,"8,999"
 Honor 7C Black ,"8,199"
 Honor 7X ,"9,749"
 Honor 8 Pro ,"19,999"
 Honor 8 Pro ,"13,999"
 Honor 9I ,"7,499"
" Honor 9i Aurora Blue, 64 GB- 4 GB RAM","8,999"
 Honor 9N ,"7,999"
 Honor 9N 4 GB Ram 128 GB ROM - Midnight Black,"12,595"
 Honor View20 ,"20,299"
 Huawei Honor Holly 3 ,"6,199"
 Huawei Mate 20 Pro ,"37,999"
 Huawei P20 Lite ,"10,999"
 Huawei P20 Lite ,"11,999"
 Infinix Hot 4 Pro ,"4,999"
 Lenovo A6000 ,"3,199"
 Lenovo A6000 ,10129
 Lenovo K5 Note ,"5,489"
 Lenovo K5 Note ,"6,499"
 Lenovo K6 Note ,"6,278"
 Lenovo K6 Note K53A48 ,"5,280"
 Lenovo K6 Note K53A48 ,"5,344"
 Lenovo K8 Note ,"6,999"
 Lenovo K8 Plus ,"5,360"
 Lenovo K8 Plus ,"6,489"
 Lenovo K8 Plus ,"7,699"
 Lenovo P2 ,"6,490"
 Lenovo Vibe K5 Plus ,"3,889"
 Lenovo Vibe P1 P1a42 ,"7,499"
 Lenovo Vibe P1A42 PA1N0014IN ,"5,499"
 Lenovo Vibe X2 X2-AP ,"4,499"
 LG G6 LGH870DS ,"14,999"
 LG G7+ ThinQ ,"25,091"
 LG K9 4G LTE ,"4,597"
 LG V30+ ,"17,789"
 LG V40 ThinQ ,"23,393.00"
 LG W10 ,"7,499"
 Mi A2 ,"7,585"
 Mi A2 ,"7,908"
 Mi A2 ,"7,699"
 Mi Poco F1 ,"11,899"
 Mi Redmi 2 ,"3,999"
 Mi Redmi 6 ,"7,389"
 Mi Redmi Note 5 Pro ,10129
 Micromax Canvas 2 Q4310 ,"3,999"
 Micromax Canvas Evok note E453,"3,890"
 Micromax MT500 ,"1,590"
 Micromax YU 6000 Yureka Note ,"4,199"
 Moto G7 Power ,"9,499"
 Moto One Power ,"10,099.00"
 Motorola G4 Play XT1602 ,"4,490"
 Motorola G5 Plus ,"4,500"
 Motorola G6 Plus ,"7,970"
 Motorola Moto E4 XT1760 ,"5,199"
 Motorola Moto E4 XT1760 ,"6,850"
 Motorola Moto G5S Plus 32GB ,"5,999"
 Motorola Moto X Play XT1562 ,"8,399"
 Motorola X4 XT1900-2 ,"8,999"
 Nokia 3 ,"4,990"
