Product_Name,Amazon_rate,FlipCartRate,price_diff,price_diff_perc
Apple iPhone XR ,64900,49900,-15000,-30.06012024
Apple iPhone XR ,64900,57490,-7410,-12.88919812
Comio C1 Pro ,3490,3990,500,12.53132832
Coolpad Cool 3 ,5420,5749,329,5.722734389
Coolpad Cool 3 ,5420,7398,1978,26.73695593
Coolpad Cool 3 ,5675,5749,74,1.287180379
Coolpad Cool 3 ,5675,7398,1723,23.2900784
Coolpad Cool 3 ,5500,5749,249,4.331188033
Coolpad Cool 3 ,5500,7398,1898,25.65558259
Coolpad Cool 5 ,6999,7490,491,6.55540721
Coolpad Mega 2.5D ,5989,5990,1,0.016694491
Coolpad Mega 2.5D ,6999,5990,-1009,-16.84474124
Coolpad Mega 5M ,2990,2940,-50,-1.700680272
Coolpad Mega 5M ,2990,2830,-160,-5.653710247
Coolpad Mega 5M ,2947,2940,-7,-0.238095238
Coolpad Mega 5M ,2947,2830,-117,-4.134275618
Forme R7S ,4290,4285,-5,-0.116686114
Forme R7S ,4290,4200,-90,-2.142857143
Gionee A1 Lite ,10129,4999,-5130,-102.6205241
Gionee F205 ,4507,4990,483,9.679358717
Gionee F205 ,4499,4990,491,9.839679359
Gionee F205 Pro ,4990,3999,-991,-24.7811953
Gionee F205 Pro ,4719,3999,-720,-18.00450113
Gionee F205 Pro ,4910,3999,-911,-22.78069517
Gionee Marathon M5 Plus ,8999,26999,18000,66.66913589
Google Pixel 3 ,49999,44999,-5000,-11.11135803
Google Pixel 3a ,34290,33999,-291,-0.855907527
Google Pixel 3a ,33999,33999,0,0
Honor 7C ,9499,12999,3500,26.92514809
Honor 7C ,9230,12999,3769,28.99453804
Honor 7C ,9699,12999,3300,25.3865682
Honor 8C ,8999,7999,-1000,-12.5015627
Honor 8C ,9508,7999,-1509,-18.86485811
Honor 9N ,10199,7499,-2700,-36.00480064
Honor 9N ,10199,8499,-1700,-20.00235322
Honor 9N ,9499,7499,-2000,-26.6702227
Honor 9N ,9499,8499,-1000,-11.76609013
Honor 9N ,10500,7499,-3001,-40.01866916
Honor 9N ,10500,8499,-2001,-23.54394635
Honor 9N ,10490,7499,-2991,-39.88531804
Honor 9N ,10490,8499,-1991,-23.42628545
Honor 9N ,10129,7499,-2630,-35.07134285
Honor 9N ,10129,8499,-1630,-19.17872691
Honor 9N ,11798,7499,-4299,-57.32764369
Honor 9N ,11798,8499,-3299,-38.81633133
Honor Holly 3 ,5499,10499,5000,47.6235832
Honor Holly 3 ,5499,7990,2491,31.17647059
Honor Holly 3 ,6799,10499,3700,35.24145157
Honor Holly 3 ,6799,7990,1191,14.90613267
Honor Holly 3 ,7400,10499,3099,29.51709687
Honor Holly 3 ,7400,7990,590,7.384230288
HTC Wildfire X ,12500,7999,-4501,-56.26953369
HTC Wildfire X ,12500,8999,-3501,-38.9043227
Huawei P30 Lite ,15490,17199,1709,9.936624222
Huawei Y9 Prime 2019 ,15990,15990,0,0
Karbonn K9 Smart Plus ,3939,5690,1751,30.77328647
Karbonn K9 Smart Plus ,3999,5690,1691,29.71880492
Lava Z61 ,4950,4699,-251,-5.341562034
Lava Z61 ,5499,4699,-800,-17.02489891
Lava Z61 ,4690,4699,9,0.191530113
Lava Z61 ,4969,4699,-270,-5.745903384
Lava Z62 ,5399,5549,150,2.703189764
Lava Z62 ,5448,5549,101,1.820147774
Lava Z70 ,7809,8299,490,5.904325822
Lava Z92 ,6299,12500,6201,49.608
Lenovo K8 Note ,9400,8699,-701,-8.058397517
Lenovo K8 Note ,8999,8699,-300,-3.448672261
Lenovo K8 Note ,7499,8699,1200,13.79468904
Lenovo K8 Note ,7386,8699,1313,15.09368893
Lenovo K8 Plus ,6889,6798,-91,-1.338629009
Lenovo K8 Plus ,6799,6798,-1,-0.014710209
LG G2 D802 ,22999,31971,8972,28.06293203
